lat,lon
60.150446,24.927771
60.157801,24.941304
60.158012,24.940644
60.16617,24.926754
60.166408,24.841273
60.166714,24.964975
60.166882,24.922253
60.168113,24.825555
60.168396,24.80436
60.16887,24.93064
60.16927,24.92982
60.170372,24.937328
60.170638,24.810648
60.172705,24.911247
60.173549,24.949483
60.178386,24.929279
60.179029,24.820928
60.179926,24.922114
60.180297,24.991432
60.182157,24.926754
60.184535,24.857398
60.184715,24.804236
60.185183,24.914837
60.185481,24.996832
60.185544,24.951469
60.185684,25.015006
60.186158,24.982033
60.187106,24.869109
60.188425,25.014586
60.188706,24.975985
60.189348,24.972886
60.189537,24.947944
60.189615,24.962096
60.189651,24.948254
60.190951,24.948562
60.19151,24.912381
60.192295,24.936306
60.192474,24.879977
60.193077,24.92973
60.193218,24.977453
60.195809,24.884591
60.1962257917,24.9626701197
60.19653,24.806725
60.197838,24.866778
60.201443,24.944969
60.201491,24.859986
60.201571,25.031383
60.202294,25.031856
60.203047,24.94534
60.203851,24.965777
60.204198,25.034008
60.205433,24.892388
60.205605,24.863755
60.205813,24.972525
60.205981,24.815542
60.208153,24.945522
60.2086854219,24.8994630774
60.208862,25.067342
60.208879,24.94695
60.209204,25.087193
60.209239,25.038063
60.209699,24.918332
60.209808,24.918119
60.210217,25.058512
60.211106,24.900406
60.211382,24.830502
60.211579,25.053108
60.212139,25.081699
60.212881,25.067797
60.213074,24.959013
60.214582,24.886684
60.216128,24.826473
60.216269,24.893368
60.216692,24.966317
60.21684,24.965761
60.216894,24.959503
60.216915,24.978699
60.21749,24.890731
60.21776,25.083706
60.218461,25.047789
60.218947,24.986752
60.219464,24.82127
60.219719,24.863043
60.22035,24.90701
60.221,24.945099
60.221231,24.946693
60.223918,25.058051
60.224937,24.97163
60.225616,25.023584
60.225671,24.895464
60.226365,24.967901
60.226943,25.002512
60.227,25.003289
60.22701,24.873665
60.227731,24.9504
60.228039,24.906302
60.228203,25.02796
60.228528,24.967874
60.229213,25.009854
60.229385,24.951223
60.22949,24.951551
60.229578,24.974167
60.229591,24.928417
60.229833,24.965007
60.229917,24.916389
60.229948,24.99802
60.230103,24.997627
60.230189,24.948052
60.230402,25.043009
60.230644,24.931912
60.2308,24.919753
60.231276,24.892097
60.23129,24.95348
60.231648,25.003468
60.232039,24.959079
60.232042,24.933414
60.232344,24.95786
60.232573,24.902223
60.233521,25.048108
60.234172,24.967048
60.23463,24.930636
60.235436,24.900911
60.236025,24.902696
60.237218,24.975116
60.237401,24.963695
60.238931,24.936697
60.240215,25.003062
60.241169,25.030858
60.241184,24.926434
60.241676,25.0232
60.241708,24.993087
60.243083,24.943478
60.243941,24.947782
60.244519,24.959859
60.244592,24.96219
60.248861,24.855052
